feature,count,mean_activation,best_rank
18356,79,0.08893312693019456,1
48879,79,0.06978608969646165,1
28169,79,0.05452545982184289,6
17668,79,0.0527490170884736,9
41771,78,0.0696572252573111,4
43876,78,0.062324781448413163,3
42454,78,0.057805421929328867,5
33960,77,0.0842933456425543,2
4178,77,0.08280359276316383,1
47266,77,0.06442159375587067,4
2363,77,0.06155509651674853,5
13791,77,0.057868455524568436,2
11133,77,0.05684384684284012,1
35906,76,0.09278919734060764,1
442,76,0.07782923337072134,1
5871,76,0.0742358539841677,5
17826,76,0.07324116569208472,2
12526,76,0.06373801283342273,1
25271,76,0.06320653963637979,4
43271,75,0.09428622086842854,1
49045,75,0.06279037435849508,4
17131,75,0.05572457273801168,8
37065,74,0.08380065687202118,1
24795,74,0.07980382220970618,3
30429,74,0.0722953139527424,2
25326,74,0.07054839469492435,1
40147,74,0.06898905487882125,4
17793,74,0.06527746045911634,4
481,74,0.060508050729294084,6
46656,73,0.07020625400624864,3
31489,73,0.06377008781857686,1
35166,72,0.06593805292828216,3
38922,72,0.06367473997589615,4
26030,72,0.05790945877217584,7
19190,71,0.1688689150860612,1
30657,71,0.08117556404060042,3
10,71,0.0,22
15163,70,0.07830468389604772,3
35806,70,0.07068480231932231,4
41127,70,0.06921664785061564,3
25626,70,0.06628733734999384,4
13741,70,0.05073709264397621,6
2598,69,0.13813199389024058,1
23325,69,0.10432693032898764,1
18293,69,0.0930211632579997,1
40409,69,0.06668327387044395,2
12814,69,0.05856810207816138,3
48017,69,0.05372840495429177,4
26546,68,0.15444972645491362,1
2017,68,0.13041550386697054,1
14594,68,0.06508730143746909,4
48340,68,0.063416909207316,4
33556,68,0.061193352017332524,3
45965,68,0.056398586972671395,9
30008,67,0.09251128570802176,1
27195,67,0.086611696699662,4
33586,67,0.060518791315270895,2
17408,67,0.05940540546356742,6
40892,67,0.056888229811369484,7
48195,66,0.09530784703339591,2
19023,66,0.08320122945940855,1
49029,66,0.07151921319239067,3
33478,66,0.06200033561749892,4
41437,66,0.0563443996237986,4
9787,66,0.05526298888479218,2
10789,66,0.0528918191451918,10
24181,65,0.10471321075008466,1
5041,65,0.07421897047987351,3
32395,65,0.07212911809866245,1
44021,65,0.0661599080149944,4
25837,65,0.0624922065780713,5
10853,65,0.05836578842539054,2
22786,65,0.058009774409807646,7
48677,65,0.05459760358700386,8
13775,64,0.07044769142521545,1
40800,64,0.06444410316180438,5
8774,64,0.06161512911785394,3
46883,63,0.16745559812065156,1
35733,63,0.10613398029217644,1
46967,63,0.07923989447336348,3
12754,63,0.07766956765027273,1
3217,63,0.0689644247056946,2
47786,63,0.06126068467422137,6
31451,63,0.05939839425541106,6
17684,62,0.06667214331607665,4
33049,62,0.0641275771082409,7
33043,62,0.06158938216826608,4
4753,62,0.060088435728703773,1
23221,62,0.05734949631075705,8
21979,62,0.05559658379324021,6
14409,62,0.05513049770266779,10
4447,61,0.1274633313544461,4
38283,61,0.10124041677498427,1
6349,61,0.08469479671511494,3
37527,61,0.07499193461214909,3
6885,61,0.06040838592853703,4
9535,61,0.056633092279805515,6
34413,60,0.08554550781846046,1
24220,60,0.07600618513921896,2
17071,60,0.07593737219770749,4
13270,60,0.05124644686778387,8
10227,59,0.16465450816992985,1
44368,59,0.09396121815099555,2
17760,59,0.07172613969798815,4
45682,59,0.06933132205474174,1
23284,59,0.06919548401640634,3
40108,59,0.0653302158718392,5
38007,58,0.06957014149119115,3
46946,58,0.06187298881082699,6
6394,58,0.05775197788045324,4
35538,58,0.05654380888003727,6
29784,58,0.05544100907342187,8
23394,57,0.10515728743191351,2
7045,57,0.08677666673534795,1
3769,57,0.06890792785245076,4
9199,57,0.06813470849342514,3
45582,57,0.06661248540407733,4
30108,57,0.06124026001545421,4
34304,57,0.060163407014650214,1
48211,57,0.0576407623787721,7
21730,56,0.06303715532911676,1
14722,56,0.059385956664170535,7
43812,56,0.059219549276999066,5
20126,55,0.07774320556358857,3
17272,55,0.07390409369360317,1
13736,55,0.0734336103905331,4
15791,55,0.07283368787982247,1
9649,55,0.06595209064808759,5
1580,55,0.056346750530329615,7
23271,55,0.05549417625774037,7
39479,54,0.12711842565072906,1
25750,54,0.10872832464951056,1
6383,54,0.09773485528098212,3
24702,54,0.061643865787320666,6
29749,54,0.06110262318893715,4
986,54,0.06065376585832349,2
41142,54,0.059098770221074425,4
8438,54,0.05763996599449052,7
25930,54,0.0548273159397973,4
37122,53,0.09593427532686377,3
48153,53,0.07164792730560843,2
46508,53,0.06805961937555727,1
4764,53,0.06415447016369621,6
2639,53,0.06068055078668414,2
31673,53,0.05627315547668709,4
12664,53,0.055911015789463836,1
47872,53,0.05107344869735106,8
21410,52,0.0970108423811885,3
33734,52,0.07602469092951371,3
47750,52,0.07093659666581796,3
35378,52,0.06753179302009252,5
3093,52,0.06532834914441292,4
9284,52,0.06461855274840043,5
1182,52,0.05723977260864698,2
35738,52,0.05387851667518799,8
14759,52,0.0498232372964804,7
47898,51,0.09726046770811081,4
29855,51,0.08967293185346267,3
39013,51,0.08938992067294962,3
19798,51,0.0888246693739704,4
47321,51,0.0792272312968385,2
9362,51,0.07624158416600789,2
596,51,0.07498329410365984,1
19923,51,0.07178600088638418,2
1978,51,0.06189747286193511,4
1292,51,0.06145002079360625,2
38650,51,0.05844247443418877,8
8258,51,0.056055834334270624,6
2943,50,0.15637803211808204,2
15752,50,0.1131248751282692,2
15550,50,0.10651649057865142,2
41050,50,0.06943784669041633,2
29030,49,0.09535728394985199,2
22521,49,0.08901285775461976,2
41823,49,0.086364639808937,2
9950,49,0.07744147567724695,2
24715,49,0.07250542550974963,2
48269,49,0.06772001711081485,5
22657,49,0.0652033233520936,6
14920,49,0.06371391549402354,1
5072,49,0.057587526738643646,7
32466,49,0.053809897023804336,8
15513,48,0.13578322467704615,1
36758,48,0.08932433417066932,1
48949,48,0.0771629389685889,2
8610,48,0.07553115161135793,5
3417,48,0.07315589503074686,4
37027,48,0.07200332086843748,3
14765,48,0.066468787069122,1
39781,48,0.059198030813907586,4
2974,48,0.05745421846707662,10
20730,48,0.05582696393442651,6
40851,48,0.04890781066690882,10
620,47,0.1483617602510655,1
35082,47,0.09350450685683717,3
42348,47,0.06804260342045033,1
45167,47,0.06787228806221739,1
28010,47,0.06555581409880455,2
40448,47,0.06351211936549937,4
23753,47,0.06086568185623656,5
14163,46,0.10894861776867638,1
47484,46,0.09210455109891684,2
27674,46,0.08154600065039552,2
35217,46,0.0773366242647171,3
42374,46,0.07602829162193381,1
15951,46,0.06903575020639793,5
38019,46,0.06651826721170674,5
31524,46,0.06128883378013321,2
45887,46,0.0609554685652256,7
5585,46,0.057660846444575684,8
34365,46,0.05454934712337411,5
34595,46,0.0510096315132535,6
13246,46,0.0505775960729174,10
1226,45,0.09470846553643544,1
45297,45,0.07964559843142828,1
10214,45,0.07954573233922323,4
46956,45,0.07747540242142148,2
30847,45,0.07149658583932453,1
42497,45,0.0681973090602292,1
9749,45,0.0635998564461867,3
40875,45,0.058437784264485045,7
5138,45,0.05462160300877359,6
20061,44,0.09852207214994864,4
11418,44,0.08140479095957497,4
8360,44,0.080342473462224,2
40435,44,0.068117358637127,6
35309,44,0.062171723270280796,7
2729,44,0.05911234139718793,5
15279,43,0.09141839858750965,3
25498,43,0.08937127714933352,6
39154,43,0.08357121154319408,1
38137,43,0.07899989031775054,1
18579,43,0.07416915841573893,1
35663,43,0.07319828140181164,4
18075,43,0.0680213600916918,6
47832,43,0.06133515387773514,7
34431,43,0.061009001160083814,7
5222,43,0.059231056117041166,6
33777,43,0.05167701753766038,12
25622,42,0.07679856337961696,2
1376,42,0.07268347999169714,1
11339,42,0.06628500971765745,2
2673,42,0.06272803477588154,6
6529,42,0.06220540404319763,2
18385,42,0.06189471163919994,5
25167,42,0.05978934910325777,5
28799,42,0.057020071893930435,4
39637,42,0.05491272200431142,11
29050,42,0.05383889616600105,9
38325,41,0.08521161192074055,2
41435,41,0.0710307174339527,1
20237,41,0.06574855090641393,1
34452,41,0.05899151414632797,5
4994,41,0.05859777058770017,7
10802,41,0.05793493858924726,6
26935,41,0.053008457872925734,8
10195,41,0.04911146340210263,10
29951,40,0.07680406421422958,4
8515,40,0.07678728178143501,4
48951,40,0.07518366426229477,2
45550,40,0.0692406096495688,5
42966,40,0.06777955489233137,2
4225,40,0.06410988084971905,2
32995,40,0.06232460495084524,2
48126,40,0.06221849014982581,7
15797,40,0.05392442056909204,1
27412,40,0.05155289433896541,10
30291,40,0.051519560255110265,6
9915,39,0.07555694037523025,3
23500,39,0.07345626942622356,3
37121,39,0.0691082076384471,4
844,39,0.06817562343218388,6
9597,39,0.0676063006887069,3
33516,39,0.06523959138072453,6
7753,39,0.06489830082043624,1
44406,39,0.0628250403664051,2
11544,39,0.06203991957964041,4
40529,39,0.06098766729999811,5
31745,39,0.05824786023451732,3
18655,38,0.07525017798731201,2
13846,38,0.0682821208120961,1
1044,38,0.061234253605729656,3
41836,38,0.05991992677905058,4
29167,38,0.05963197428929178,7
28301,38,0.05743884020730069,10
14671,38,0.05557602879248167,7
12426,38,0.053991154424454034,5
38254,38,0.053325291723012924,9
27666,37,0.11113415940387829,1
11258,37,0.1002201301020545,5
34906,37,0.09333529142109123,4
23032,37,0.09024891750635328,2
32654,37,0.08701032057807252,5
5765,37,0.07729479207380398,1
24643,37,0.0686899767936887,7
16790,37,0.06309715618152877,4
23856,37,0.0623387537292532,2
20368,37,0.056171589203782984,3
32285,37,0.05587501179527592,4
36753,37,0.05554756965186145,9
32340,37,0.05490822586658839,12
239,36,0.07994338352647093,3
32210,36,0.06750120967626572,5
7809,36,0.06581380032002926,5
33235,36,0.06394911143514845,4
32525,36,0.06339673511683941,9
45161,36,0.06093568458325333,1
29843,36,0.060153502970933914,1
21606,36,0.059232758772042066,9
16567,36,0.055104517895314425,9
5621,36,0.05377985785404841,13
11,36,0.0,19
3689,35,0.07519031997237886,5
31407,35,0.07092549896665983,2
33203,35,0.07078883796930313,1
30010,35,0.06387482157775334,2
37675,35,0.06157852688005992,4
44065,35,0.05986764154263905,7
19256,35,0.056911303315843854,4
927,35,0.05567821881600789,7
13132,35,0.05488738311188562,4
36373,34,0.0806532245786751,4
18143,34,0.07446108977584277,6
37269,34,0.07287561586674522,4
4210,34,0.0721040591597557,3
22642,34,0.061120863565627265,2
46944,34,0.057564674712279267,2
48883,34,0.05289295019910616,11
42778,34,0.05164886046858395,12
8635,34,0.051152059479671365,13
30660,34,0.048915344126084274,7
889,33,0.07787115273602081,3
38788,33,0.06445595576907649,8
28547,33,0.06023682360396241,1
28891,33,0.05959447699062752,8
41597,33,0.05942663211714138,3
44115,33,0.05836944394942486,7
34759,33,0.057843543137564804,4
33406,32,0.08460184186697006,2
15424,32,0.07249396573752165,2
38546,32,0.06963655794970691,5
23388,32,0.06887192442081869,4
30064,32,0.06620308849960566,5
39489,32,0.06383172038476914,7
19921,32,0.06046739814337343,4
42438,32,0.05510798282921314,11
6536,32,0.05458654882386327,7
9483,32,0.05455701844766736,6
37700,31,0.10180380363618174,1
28223,31,0.08722149400461104,2
11763,31,0.08157154557205015,1
42370,31,0.07883862285844741,2
3197,31,0.07686890841972444,5
40807,31,0.07442851761175741,5
10820,31,0.06999202517251815,2
9940,31,0.06104293838143349,5
20056,31,0.0608223563721103,6
4650,31,0.05708565514895224,8
25505,31,0.05661557614803314,9
39271,31,0.055622284450838645,6
37606,31,0.05392634676348779,8
560,31,0.05313899776627941,13
30907,31,0.05299303872931388,11
11240,31,0.05154778543979891,8
46346,31,0.04876038480189539,14
3282,30,0.08120908538500468,3
6559,30,0.07409829373160998,3
18316,30,0.07396670753757159,2
14706,30,0.07322656512260436,1
20225,30,0.06832223758101463,7
46612,30,0.06070865492026011,9
23990,30,0.05997124997278055,4
19488,30,0.059166841705640155,2
47730,30,0.05755937484403451,8
38044,30,0.05668467121819655,4
23695,30,0.05654330452283223,7
35142,30,0.05632345850269,7
10739,30,0.054968889554341635,7
19557,30,0.05135198459029198,10
9965,30,0.05131555870175362,10
43152,30,0.04988911896944046,13
11460,29,0.10466703746853204,2
27265,29,0.07673485782639734,2
26448,29,0.07393824797252128,1
32145,29,0.06931775088967948,2
25872,29,0.06880834210535576,4
44845,29,0.06839234124997566,2
32840,29,0.06379198013194676,7
31925,29,0.06175371182375941,10
29797,29,0.05788631197707406,5
25273,29,0.051982815923361944,8
2554,29,0.04846762968548413,9
